BubbleSort; BubbleSortOtimizado; SelectionSort; SelectionSortOtimizado; InserionSort
3.89431e+08;1.55865e+08;1.69123e+08;1.67558e+08;60720
4.27293e+08;1.82083e+08;1.97144e+08;1.95932e+08;61177
3.85765e+08;1.62081e+08;1.65244e+08;1.61344e+08;55187
4.39312e+08;1.925e+08;1.98274e+08;1.98681e+08;82653
4.28228e+08;1.59855e+08;1.74291e+08;1.66702e+08;70485
4.29032e+08;1.79265e+08;1.9785e+08;1.95727e+08;63502
3.93191e+08;1.6332e+08;1.65013e+08;1.65315e+08;57950
4.87157e+08;1.96341e+08;1.99291e+08;1.97979e+08;78456
3.85414e+08;1.58227e+08;1.72409e+08;1.6111e+08;47256
4.49001e+08;1.94321e+08;2.00623e+08;1.98493e+08;71824
3.86268e+08;1.55406e+08;1.64498e+08;1.61154e+08;49840
4.32481e+08;1.79927e+08;2.03483e+08;1.96722e+08;65741
3.89834e+08;1.70008e+08;1.64827e+08;1.61113e+08;51222
4.34833e+08;1.81197e+08;1.9766e+08;1.96694e+08;90844
4.02673e+08;1.56123e+08;1.65391e+08;1.6296e+08;55830
4.43983e+08;1.78959e+08;2.02618e+08;1.96666e+08;81123
4.06074e+08;1.76404e+08;1.68584e+08;1.61027e+08;52476
4.3061e+08;1.81065e+08;1.96588e+08;1.95233e+08;60849
3.86014e+08;1.56228e+08;1.64092e+08;1.76809e+08;72515
4.51475e+08;1.78874e+08;1.97084e+08;2.06698e+08;79978
3.90092e+08;1.57121e+08;1.69592e+08;1.61725e+08;54000
4.60164e+08;1.95732e+08;1.97404e+08;2.00394e+08;74696
3.85676e+08;1.71801e+08;1.70114e+08;1.63687e+08;51099
4.28465e+08;1.79283e+08;2.14024e+08;2.00881e+08;71854
4.05918e+08;1.57669e+08;1.65718e+08;1.73542e+08;58673
4.76842e+08;2.00396e+08;1.96963e+08;2.01098e+08;98938
3.874e+08;1.55891e+08;1.6408e+08;1.6171e+08;55118
4.29804e+08;1.7882e+08;1.97697e+08;2.04364e+08;70768
3.87007e+08;1.66078e+08;1.95601e+08;1.80096e+08;56837
4.2862e+08;1.78964e+08;2.04728e+08;1.97368e+08;79982
3.99592e+08;1.68887e+08;1.65305e+08;1.61994e+08;45558
4.2725e+08;1.86963e+08;1.98208e+08;1.95658e+08;71711
3.8627e+08;1.5513e+08;1.65751e+08;1.61039e+08;54906
4.60807e+08;1.88269e+08;2.17788e+08;1.96099e+08;76515
4.08811e+08;1.63683e+08;1.72466e+08;1.61315e+08;49691
4.4062e+08;1.79876e+08;1.97283e+08;1.96676e+08;73279
3.85567e+08;1.56213e+08;1.64961e+08;1.63014e+08;60282
4.31045e+08;1.84651e+08;1.99438e+08;1.96064e+08;84641
4.04839e+08;1.7154e+08;1.70974e+08;1.63113e+08;50402
4.59996e+08;1.96446e+08;1.9792e+08;1.95435e+08;60972
3.87657e+08;1.61611e+08;1.65765e+08;1.61796e+08;53739
4.30318e+08;1.79802e+08;1.96779e+08;1.96464e+08;69566
3.96686e+08;1.56428e+08;1.68069e+08;1.62182e+08;42953
5.01985e+08;1.81319e+08;2.13749e+08;1.97501e+08;72527
3.92051e+08;1.55503e+08;1.66308e+08;1.60993e+08;51492
4.30884e+08;1.7951e+08;1.99637e+08;2.0233e+08;87397
3.92745e+08;1.56461e+08;1.65881e+08;1.64936e+08;58022
4.31408e+08;1.79911e+08;2.02975e+08;2.10559e+08;87566
4.4985e+08;1.69427e+08;1.65474e+08;1.62961e+08;53750
4.28519e+08;1.88021e+08;1.97412e+08;1.95887e+08;83812
3.85032e+08;1.56573e+08;1.64428e+08;1.65014e+08;54744
4.39808e+08;1.82631e+08;1.97553e+08;1.95622e+08;71451
4.09939e+08;1.55858e+08;1.66975e+08;1.84007e+08;54190
4.85694e+08;1.79916e+08;1.97246e+08;1.96983e+08;75164
3.83751e+08;1.55809e+08;1.63962e+08;1.62801e+08;53351
4.36084e+08;1.79313e+08;1.98494e+08;1.9577e+08;69510
3.87383e+08;1.57202e+08;1.65547e+08;1.67004e+08;50801
4.51168e+08;1.80195e+08;2.25812e+08;2.05413e+08;72204
3.84692e+08;1.56338e+08;1.69168e+08;1.62802e+08;54891
4.28495e+08;1.79531e+08;2.01637e+08;1.99159e+08;84475
3.97703e+08;1.62008e+08;1.6479e+08;1.60776e+08;41506
4.69238e+08;1.8033e+08;1.96885e+08;2.14414e+08;85024
4.37542e+08;1.56325e+08;1.6803e+08;1.73846e+08;54998
4.3192e+08;1.80202e+08;1.98941e+08;1.97936e+08;55550
4.14653e+08;1.56403e+08;1.66291e+08;1.60868e+08;51889
4.29003e+08;1.80313e+08;1.97039e+08;2.03545e+08;76531
4.10137e+08;1.5699e+08;1.71004e+08;1.65873e+08;51150
4.42726e+08;1.85607e+08;2.21747e+08;1.95564e+08;74915
3.86129e+08;1.56518e+08;1.69751e+08;1.62355e+08;57927
4.37937e+08;1.85338e+08;1.9687e+08;1.95414e+08;73926
3.88788e+08;1.56342e+08;1.65848e+08;1.65551e+08;51850
4.55248e+08;1.80018e+08;1.96801e+08;1.97189e+08;68719
4.09432e+08;1.67101e+08;1.66286e+08;1.61552e+08;51520
4.47433e+08;1.82269e+08;1.98688e+08;1.95699e+08;66801
3.83002e+08;1.56855e+08;1.66426e+08;1.63417e+08;45829
4.38391e+08;1.96217e+08;2.08175e+08;1.9885e+08;84489
3.88163e+08;1.56411e+08;1.6491e+08;1.73529e+08;52622
4.61094e+08;1.85551e+08;2.09247e+08;1.98897e+08;73023
3.87186e+08;1.60673e+08;1.64921e+08;1.62267e+08;45244
4.41076e+08;1.79663e+08;1.97413e+08;2.07414e+08;85795
4.17375e+08;1.56904e+08;1.65174e+08;1.62369e+08;39040
4.30179e+08;1.79379e+08;2.02823e+08;2.06562e+08;74447
4.29315e+08;1.57787e+08;1.64834e+08;1.62131e+08;44831
4.29891e+08;1.80603e+08;1.97348e+08;1.96076e+08;80427
3.95101e+08;1.75154e+08;1.68363e+08;1.68051e+08;60451
4.32768e+08;1.78805e+08;1.9654e+08;2.02962e+08;57625
3.91831e+08;1.61623e+08;1.73212e+08;1.7124e+08;43453
4.27147e+08;1.81889e+08;2.02848e+08;2.151e+08;101433
3.85087e+08;1.56461e+08;1.64937e+08;1.64816e+08;50946
4.57405e+08;1.79753e+08;2.02719e+08;1.95756e+08;83169
3.82426e+08;1.585e+08;1.64072e+08;1.63276e+08;63008
4.39618e+08;1.91623e+08;2.01277e+08;2.10321e+08;83666
3.89432e+08;1.55698e+08;1.63947e+08;1.61453e+08;60451
4.30439e+08;1.93037e+08;2.05109e+08;2.0459e+08;66776
3.86925e+08;1.55426e+08;1.64222e+08;1.66707e+08;61213
4.37284e+08;1.79283e+08;2.02494e+08;2.01388e+08;86241
3.95253e+08;1.61456e+08;1.75951e+08;1.70227e+08;47038
4.31417e+08;1.80561e+08;2.0107e+08;1.96166e+08;56523
4.25326e+08;1.60215e+08;1.6428e+08;1.60989e+08;41317
4.29518e+08;1.81073e+08;1.99213e+08;2.00471e+08;64051
